conds_file,label_left,label_right,stimImage,stimWord,CorrAns,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_done_button.started,instr_done_label.started,instr_done_touch.started,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,button_L.started,button_R.started,fixation.started,fixation.stopped,image_stim.started,text_stim.started,key_resp.started,button_left.started,button_right.started,touch_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,thanks_text.started,participant,order,session,gender,date,expName,psychopyVersion,frameRate,
pos_neg_train.xlsx,"A = 
Positive","L = 
Negative",stimuli/blank.png,Nasty,l,,,,,0,0,0,0,0,0,0,9,22.214243099995656,22.214243099995656,0.04037630000675563,-0.019444444444444445,-0.4101851851851852,0,0,0,38.8504535999964,38.8504535999964,44.18901239999104,44.683830599999055,44.683830599999055,44.683830599999055,44.683830599999055,44.683830599999055,44.683830599999055,0.5363879999931669,l,1,1.264630899997428,[],[],[],[],[],[],[],1.264630899997428,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
pos_neg_train.xlsx,"A = 
Positive","L = 
Negative",stimuli/blank.png,Joy,a,,,,,0,0,0,0,0,1,1,8,,,,,,,,,,,46.97869559998799,47.479103099991335,47.479103099991335,47.479103099991335,47.479103099991335,47.479103099991335,47.479103099991335,0.513108299986925,a,1,1.0137692999996943,[],[],[],[],[],[],[],1.0137692999996943,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
pos_neg_train.xlsx,"A = 
Positive","L = 
Negative",stimuli/blank.png,Hurt,l,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,49.51259610000125,50.01238679999369,50.01238679999369,50.01238679999369,50.01238679999369,50.01238679999369,50.01238679999369,0.5131542999879457,l,1,0.7743214999936754,[],[],[],[],[],[],[],0.7743214999936754,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
pos_neg_train.xlsx,"A = 
Positive","L = 
Negative",stimuli/blank.png,Happy,a,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,51.81176899999264,52.312056299997494,52.312056299997494,52.312056299997494,52.312056299997494,52.312056299997494,52.312056299997494,0.5127236999978777,a,1,0.6476168000081088,[],[],[],[],[],[],[],0.6476168000081088,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
pos_neg_train.xlsx,"A = 
Positive","L = 
Negative",stimuli/blank.png,Love,a,,,,,0,0,0,0,0,4,4,6,,,,,,,,,,,53.97835799999302,54.47874399999273,54.47874399999273,54.47874399999273,54.47874399999273,54.47874399999273,54.47874399999273,0.513035600000876,a,1,0.889066499992623,[],[],[],[],[],[],[],0.889066499992623,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
pos_neg_train.xlsx,"A = 
Positive","L = 
Negative",stimuli/blank.png,Pleasure,a,,,,,0,0,0,0,0,5,5,4,,,,,,,,,,,56.39500439999392,56.89509839999664,56.89509839999664,56.89509839999664,56.89509839999664,56.89509839999664,56.89509839999664,0.5120558000053279,a,1,0.8684014000027673,[],[],[],[],[],[],[],0.8684014000027673,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
pos_neg_train.xlsx,"A = 
Positive","L = 
Negative",stimuli/blank.png,Agony,l,,,,,0,0,0,0,0,6,6,5,,,,,,,,,,,58.79453139999532,59.29506219999166,59.29506219999166,59.29506219999166,59.29506219999166,59.29506219999166,59.29506219999166,0.5138563999935286,l,1,0.9263831000134815,[],[],[],[],[],[],[],0.9263831000134815,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
pos_neg_train.xlsx,"A = 
Positive","L = 
Negative",stimuli/blank.png,Good,a,,,,,0,0,0,0,0,7,7,0,,,,,,,,,,,61.24454469999182,61.744898499993724,61.744898499993724,61.744898499993724,61.744898499993724,61.744898499993724,61.744898499993724,0.5135126000095624,a,1,0.555245499999728,[],[],[],[],[],[],[],0.555245499999728,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
pos_neg_train.xlsx,"A = 
Positive","L = 
Negative",stimuli/blank.png,Evil,l,,,,,0,0,0,0,0,8,8,7,,,,,,,,,,,63.32772180000029,63.82794049999211,63.82794049999211,63.82794049999211,63.82794049999211,63.82794049999211,63.82794049999211,0.5140215999999782,l,1,0.9227821000094991,[],[],[],[],[],[],[],0.9227821000094991,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
pos_neg_train.xlsx,"A = 
Positive","L = 
Negative",stimuli/blank.png,Bad,l,,,,,0,0,0,0,0,9,9,1,,,,,,,,,,,65.77749929999118,66.277814999994,66.277814999994,66.277814999994,66.277814999994,66.277814999994,66.277814999994,0.5135083999921335,l,1,1.1305473999964306,[],[],[],[],[],[],[],1.1305473999964306,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
cong_train.xlsx,"A = 
Healthy","L = 
Unhealthy",stimuli/blank.png,Salad,a,,,,,0,1,1,1,0,0,0,1,,,,,,,,,68.43646369999624,68.43646369999624,76.16848129998834,76.64414759998908,76.64414759998908,76.64414759998908,76.64414759998908,76.64414759998908,76.64414759998908,0.5158857999922475,a,1,1.096971900013159,[],[],[],[],[],[],[],1.096971900013159,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
cong_train.xlsx,"A = 
Healthy","L = 
Unhealthy",stimuli/blank.png,Yogurt,a,,,,,0,1,1,1,0,1,1,7,,,,,,,,,,,78.76019689999521,79.26059869999881,79.26059869999881,79.26059869999881,79.26059869999881,79.26059869999881,79.26059869999881,0.5117962999938754,a,1,1.648500300012529,[],[],[],[],[],[],[],1.648500300012529,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
cong_train.xlsx,"A = 
Healthy","L = 
Unhealthy",stimuli/blank.png,Soft Drinks,l,,,,,0,1,1,1,0,2,2,8,,,,,,,,,,,81.9284939999925,82.42680819999077,82.42680819999077,82.42680819999077,82.42680819999077,82.42680819999077,82.42680819999077,0.5127324999921257,l,1,0.8563796000089496,[],[],[],[],[],[],[],0.8563796000089496,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
cong_train.xlsx,"A = 
Healthy","L = 
Unhealthy",stimuli/blank.png,Fruit Salad,a,,,,,0,1,1,1,0,3,3,5,,,,,,,,,,,84.30956389999483,84.81027190000168,84.81027190000168,84.81027190000168,84.81027190000168,84.81027190000168,84.81027190000168,0.5135258000082104,a,1,1.1438247000041883,[],[],[],[],[],[],[],1.1438247000041883,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
cong_train.xlsx,"A = 
Healthy","L = 
Unhealthy",stimuli/blank.png,Fruit Juice,a,,,,,0,1,1,1,0,4,4,9,,,,,,,,,,,86.97614210000029,87.47642500000075,87.47642500000075,87.47642500000075,87.47642500000075,87.47642500000075,87.47642500000075,0.5122831000044243,a,1,0.9494971999956761,[],[],[],[],[],[],[],0.9494971999956761,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
cong_train.xlsx,"A = 
Healthy","L = 
Unhealthy",stimuli/blank.png,Burger,l,,,,,0,1,1,1,0,5,5,0,,,,,,,,,,,89.44310959998984,89.94288259999303,89.94288259999303,89.94288259999303,89.94288259999303,89.94288259999303,89.94288259999303,0.5126885999925435,l,1,0.8259897999960231,[],[],[],[],[],[],[],0.8259897999960231,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
cong_train.xlsx,"A = 
Healthy","L = 
Unhealthy",stimuli/blank.png,Biriyani,l,,,,,0,1,1,1,0,6,6,6,,,,,,,,,,,91.79254850000143,92.29311549999693,92.29311549999693,92.29311549999693,92.29311549999693,92.29311549999693,92.29311549999693,0.5134336999908555,l,1,1.2622171000111848,[],[],[],[],[],[],[],1.2622171000111848,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
cong_train.xlsx,"A = 
Healthy","L = 
Unhealthy",stimuli/blank.png,Fries,l,,,,,0,1,1,1,0,7,7,2,,,,,,,,,,,94.57571530000132,95.07605299999705,95.07605299999705,95.07605299999705,95.07605299999705,95.07605299999705,95.07605299999705,0.5135933999990812,l,1,0.9973817999998573,[],[],[],[],[],[],[],0.9973817999998573,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
cong_train.xlsx,"A = 
Healthy","L = 
Unhealthy",stimuli/blank.png,Vegetables,a,,,,,0,1,1,1,0,8,8,3,,,,,,,,,,,97.0929335999972,97.59265120000055,97.59265120000055,97.59265120000055,97.59265120000055,97.59265120000055,97.59265120000055,0.5142204000003403,a,1,1.154800600008457,[],[],[],[],[],[],[],1.154800600008457,1,,krish,1,001,male,2023-03-11_19h19.48.981,IAT-1.4,2022.2.5,59.95926367668947,
